Q1264543,Q3305213
Q846672,P218
Q239,Q9005
Q239,Q9005
P440,P439
Q594,P107
Q594,P31
P107,P31
,168,,757
,168,,301
,168,,731
,757,,301
,757,,731
,301,,731
Q16742096,P425
Q16742096,Q13449869
Q16742096,P101
P425,Q13449869
P425,P101
Q13449869,P101
Q444463,Q2440569
Q486972,Q11773892
Q5666501,Q21522590
Q237258,Q245107
Q42622,Q10883559
Q7158737,P460
P442,P020100607576713846854
Q17790,P497
P531,P530
Q4115189,Q14629552
P373,p373
Q442801,P373
Q305277,Q26233576
Q171150,P17
Q171150,P131
P17,P131
Q12354004,P580
Q12354004,P582
P580,P582
Q318117,Q130005
Q318117,Q1102542
Q318117,P569
Q130005,Q1102542
Q130005,P569
Q1102542,P569
Q134307,Q386724
Q134307,P180
Q134307,Q15676570
Q386724,P180
Q386724,Q15676570
P180,Q15676570
Q838948,P279
Q838948,Q15222213
Q838948,Q4502142
Q838948,Q386724
Q838948,Q3305213
P279,Q15222213
P279,Q4502142
P279,Q386724
P279,Q3305213
Q15222213,Q4502142
Q15222213,Q386724
Q15222213,Q3305213
Q4502142,Q386724
Q4502142,Q3305213
Q386724,Q3305213
Q174705,P186
Q174705,Q12418
Q174705,Q296955
Q174705,Q214609
P186,Q12418
P186,Q296955
P186,Q214609
Q12418,Q296955
Q12418,Q214609
Q296955,Q214609
Q154568,Q20017804
Q154568,Q812285
Q154568,P217
Q154568,Q680166
Q20017804,Q812285
Q20017804,P217
Q20017804,Q680166
Q812285,P217
Q812285,Q680166
P217,Q680166
Q421888,P1014
Q812285,P195
Q812285,Q22116937
P195,Q22116937
Q93270,Q14955381
P453,P161
P453,P175
P161,P175
Q6832227,Q444270
Q6832227,Q506250
Q6832227,Q97270
Q6832227,Q903471
Q6832227,Q1754
Q6832227,Q725108
Q6832227,Q4790366
Q6832227,Q740638
Q444270,Q506250
Q444270,Q97270
Q444270,Q903471
Q444270,Q1754
Q444270,Q725108
Q444270,Q4790366
Q444270,Q740638
Q506250,Q97270
Q506250,Q903471
Q506250,Q1754
Q506250,Q725108
Q506250,Q4790366
Q506250,Q740638
Q97270,Q903471
Q97270,Q1754
Q97270,Q725108
Q97270,Q4790366
Q97270,Q740638
Q903471,Q1754
Q903471,Q725108
Q903471,Q4790366
Q903471,Q740638
Q1754,Q725108
Q1754,Q4790366
Q1754,Q740638
Q725108,Q4790366
Q725108,Q740638
Q4790366,Q740638
Q1816910,Q590827
Q1816910,Q976288
Q1816910,P18
Q1816910,Q1344834
Q1816910,Q3085443
Q590827,Q976288
Q590827,P18
Q590827,Q1344834
Q590827,Q3085443
Q976288,P18
Q976288,Q1344834
Q976288,Q3085443
P18,Q1344834
P18,Q3085443
Q1344834,Q3085443
Q179149,Q59180
Q843729,P1448
Q843729,Q22944865
P1448,Q22944865
Q21580021,Q357829
Q48235,P248
Q48235,P135
Q48235,Q12776829
Q48235,Q26883983
Q48235,Q16520827
Q48235,Q659701
Q48235,Q18604141
P248,P135
P248,Q12776829
P248,Q26883983
P248,Q16520827
P248,Q659701
P248,Q18604141
P135,Q12776829
P135,Q26883983
P135,Q16520827
P135,Q659701
P135,Q18604141
Q12776829,Q26883983
Q12776829,Q16520827
Q12776829,Q659701
Q12776829,Q18604141
Q26883983,Q16520827
Q26883983,Q659701
Q26883983,Q18604141
Q16520827,Q659701
Q16520827,Q18604141
Q659701,Q18604141
Q8229,Q41670
Q8161096,Q9601192
Q8161096,Q7340332
Q8161096,Q8157903
Q9601192,Q7340332
Q9601192,Q8157903
Q7340332,Q8157903
Q13486906,Q12191587
Q13486906,Q3049894
Q12191587,Q3049894
Q3104786,Q12229523
Q6544202,Q6544469
Q8869520,q985073
Q8869520,Q985073
Q8869520,Q9537742
q985073,Q985073
q985073,Q9537742
Q985073,Q9537742
Q13422082,Q1160481
Q12347730,Q1120619
Q386724,P107
P400,P437
Q281460,Q2927648
Q21234064,P1036
Q21234064,Q47125
Q21234064,P1651
P1036,Q47125
P1036,P1651
Q47125,P1651
Q18604577,Q732917
Q2942552,Q18426340
P646,Q47125
Q38,P17
Q38,Q16970
Q38,P31
P17,Q16970
P17,P31
Q16970,P31
Q1248784,P31
Q13652,Q23436
Q15647814,Q3740
Q15647814,Q19823787
Q15647814,Q15181099
Q15647814,Q4167836
Q15647814,P31
Q3740,Q19823787
Q3740,Q15181099
Q3740,Q4167836
Q3740,P31
Q19823787,Q15181099
Q19823787,Q4167836
Q19823787,P31
Q15181099,Q4167836
Q15181099,P31
Q4167836,P31
Q93606,Q682257
Q20910324,Q20921769
Q1199173,Q4167836
Q1199173,P31
Q4167836,P31
Q27133,P171
Q27133,Q84149
P171,Q84149
P143,P107
P143,Q13964373
P143,Q13987278
P107,Q13964373
P107,Q13987278
Q13964373,Q13987278
Q10930206,Q14178625
Q15240653,Q15240654
Q15240653,Q15240655
Q15240653,Q15240656
Q15240653,Q15240657
Q15240654,Q15240655
Q15240654,Q15240656
Q15240654,Q15240657
Q15240655,Q15240656
Q15240655,Q15240657
Q15240656,Q15240657
Q1821382,Q2846039
Q1821382,Q6414623
Q1821382,Q1805224
Q1821382,Q5857677
Q2846039,Q6414623
Q2846039,Q1805224
Q2846039,Q5857677
Q6414623,Q1805224
Q6414623,Q5857677
Q1805224,Q5857677
P132,P442
P132,P107
P132,P31
P442,P107
P442,P31
P107,P31
Q11063813,Q15899326
,220,,1406
,220,,218
,220,,219
,220,,506
,220,P218
,1406,,218
,1406,,219
,1406,,506
,1406,P218
,218,,219
,218,,506
,218,P218
,219,,506
,219,P218
,506,P218
Q4115189,Q12980248
P11,P9
P11,P10
P9,P10
Q10798782,Q10800557
Q10798782,q10816969
Q10800557,q10816969
Q13405391,Q13405405
Q51787,Q51805
Q35820,Q5
Q35820,Q219937
Q35820,P21
Q35820,P31
Q5,Q219937
Q5,P21
Q5,P31
Q219937,P21
Q219937,P31
P21,P31
P39,Q18711738
Q7205840,Q1997065
P17,Q1033
P17,P625
Q1033,P625
Q13651104,Q13406860
Q13651104,Q13406872
Q13651104,Q13406846
Q13651104,Q13406835
Q13651104,Q3680919
Q13651104,Q13406837
Q13406860,Q13406872
Q13406860,Q13406846
Q13406860,Q13406835
Q13406860,Q3680919
Q13406860,Q13406837
Q13406872,Q13406846
Q13406872,Q13406835
Q13406872,Q3680919
Q13406872,Q13406837
Q13406846,Q13406835
Q13406846,Q3680919
Q13406846,Q13406837
Q13406835,Q3680919
Q13406835,Q13406837
Q3680919,Q13406837
Q1909769,Q19841478
Q45007,Q44832
P27,P17
Q15255523,Q4228598
Q10381137,Q10695365
Q16940163,Q18276357
Q10152094,Q17379820
Q16010011,Q18005337
Q16010011,Q3183477
Q18005337,Q3183477
Q11879590,Q12308941
Q11879590,Q202444
Q12308941,Q202444
P27,Q242485
Q191080,Q276379
P166,Q19458819
P166,Q21601445
P166,Q1771414
Q19458819,Q21601445
Q19458819,Q1771414
Q21601445,Q1771414
Q8577,Q5307471
Q8577,Q1798983
Q8577,P1344
Q8577,Q441622
Q5307471,Q1798983
Q5307471,P1344
Q5307471,Q441622
Q1798983,P1344
Q1798983,Q441622
P1344,Q441622
Q27811,P220
Q27811,P1406
Q27811,Q8558395
Q27811,P218
Q27811,P506
P220,P1406
P220,Q8558395
P220,P218
P220,P506
P1406,Q8558395
P1406,P218
P1406,P506
Q8558395,P218
Q8558395,P506
P218,P506
P39,Q5018756
Q358,Q2065736
Q184030,Q665541
P805,P518
Q15636293,Q9009162
Q15636293,Q15724724
Q15636293,Q9009167
Q9009162,Q15724724
Q9009162,Q9009167
Q15724724,Q9009167
Q15228,Q81738
Q15228,P1080
Q15228,Q559618
Q15228,Q180322
Q15228,P1441
Q15228,P31
Q81738,P1080
Q81738,Q559618
Q81738,Q180322
Q81738,P1441
Q81738,P31
P1080,Q559618
P1080,Q180322
P1080,P1441
P1080,P31
Q559618,Q180322
Q559618,P1441
Q559618,P31
Q180322,P1441
Q180322,P31
P1441,P31
Q19577155,Q1850566
P1815,Q15839163
P1815,P1973
Q15839163,P1973
Q19577155,P357
Q19577155,Q144547
Q19577155,P629
Q19577155,P1476
Q19577155,P1433
Q19577155,P747
P357,Q144547
P357,P629
P357,P1476
P357,P1433
P357,P747
Q144547,P629
Q144547,P1476
Q144547,P1433
Q144547,P747
P629,P1476
P629,P1433
P629,P747
P1476,P1433
P1476,P747
P1433,P747
p2128,P2128
P143,Q206855
P143,Q15726745
Q206855,Q15726745
