+----------+----------------+-------------------------------------------------------+-------------------+--------------+------------------+-------------+--------------------+----------------+--------------------+-------------+----------+--------------------+
| page_id  | page_namespace | page_title                                            | page_restrictions | page_counter | page_is_redirect | page_is_new | page_random        | page_touched   | page_links_updated | page_latest | page_len | page_content_model |
| 23330028 |              1 | Q102496                                               |                   |            0 |                0 |           1 |     0.645537539189 | 20160921122201 | 20160921122220     |   266577979 |       22 | wikitext           |
| 19039039 |              1 | Q1025079                                              |                   |            0 |                0 |           1 |     0.423066117762 | 20140729171422 | 20140729171422     |   148189019 |      262 | wikitext           |
|  8530940 |              1 | Q1025961                                              |                   |            0 |                0 |           1 |     0.181954443105 | 20140923034005 | NULL               |    16264914 |      292 | wikitext           |
| 22477531 |              1 | Q10261937                                             |                   |            0 |                0 |           1 |     0.911138692328 | 20150828232516 | 20150726180523     |   236794022 |      208 | wikitext           |
| 19730635 |              1 | Q1026330                                              |                   |            0 |                0 |           0 |     0.295357870049 | 20160304072917 | 20141009140028     |   162804276 |      278 | wikitext           |
| 18875044 |              1 | Q10267336                                             |                   |            0 |                0 |           1 |      0.48140017838 | 20160824195943 | 20160824200108     |   139941090 |      168 | wikitext           |
| 11873485 |              1 | Q10268830                                             |                   |            0 |                0 |           1 |     0.587232786991 | 20160606200326 | 20160606200348     |    22105088 |      221 | wikitext           |
| 17516114 |              1 | Q1027110                                              |                   |            0 |                0 |           1 |     0.820585257146 | 20150529144107 | 20140304121110     |   113870634 |      300 | wikitext           |
| 21449079 |              1 | Q1027361                                              |                   |            0 |                0 |           1 |     0.229585159067 | 20150502085352 | 20150502085351     |   213955407 |      202 | wikitext           |
| 21448922 |              1 | Q1027413                                              |                   |            0 |                0 |           1 |      0.80834075067 | 20150502071538 | 20150502071538     |   213940574 |      202 | wikitext           |
| 21369042 |              1 | Q1027459                                              |                   |            0 |                0 |           1 |     0.358261823621 | 20150407085603 | 20150407085603     |   209319138 |      202 | wikitext           |
| 21450106 |              1 | Q1027483                                              |                   |            0 |                0 |           1 |     0.639553037719 | 20150502130147 | 20150502130146     |   213994612 |      203 | wikitext           |
| 21450366 |              1 | Q10278561                                             |                   |            0 |                0 |           1 |     0.765506652912 | 20150502133158 | 20150502133158     |   213999307 |      196 | wikitext           |
| 21363352 |              1 | Q1027858                                              |                   |            0 |                0 |           1 |     0.676310921969 | 20150406143847 | 20150406143847     |   209118918 |      202 | wikitext           |
| 21405580 |              1 | Q1028067                                              |                   |            0 |                0 |           1 |      0.32530375613 | 20150416145631 | 20150416145630     |   211037492 |      201 | wikitext           |
| 21401978 |              1 | Q1028073                                              |                   |            0 |                0 |           1 |     0.070673195691 | 20150413145049 | 20150413145048     |   210619413 |      200 | wikitext           |
| 21369000 |              1 | Q1028081                                              |                   |            0 |                0 |           1 |     0.551178311285 | 20150407083331 | 20150407083330     |   209315126 |      210 | wikitext           |
| 21363084 |              1 | Q1028083                                              |                   |            0 |                0 |           1 |     0.457819050804 | 20150406125825 | 20150406125825     |   209096826 |      200 | wikitext           |
| 21369543 |              1 | Q1028197                                              |                   |            0 |                0 |           1 |     0.781683678678 | 20150407121144 | 20150407121143     |   209348091 |      199 | wikitext           |
| 21363356 |              1 | Q1028309                                              |                   |            0 |                0 |           1 |     0.640698257292 | 20150406144020 | 20150406144019     |   209119172 |      202 | wikitext           |
| 21363368 |              1 | Q1028316                                              |                   |            0 |                0 |           1 |     0.100691014807 | 20150406144805 | 20150406144804     |   209120647 |      200 | wikitext           |
| 21368949 |              1 | Q1028341                                              |                   |            0 |                0 |           1 |     0.751085094593 | 20150407080226 | 20150407080226     |   209310786 |      198 | wikitext           |
| 21450358 |              1 | Q10294669                                             |                   |            0 |                0 |           1 |     0.601393008957 | 20150502132752 | 20150502132750     |   213998699 |      198 | wikitext           |
| 21369237 |              1 | Q1029982                                              |                   |            0 |                0 |           1 |     0.305421293135 | 20150407112910 | 20150407112910     |   209341438 |      208 | wikitext           |
| 19706554 |              1 | Q10301543                                             |                   |            0 |                0 |           1 |     0.752249043531 | 20160913220216 | 20160820111530     |   161666383 |      515 | wikitext           |
| 21910414 |              1 | Q103016                                               |                   |            0 |                0 |           1 |     0.959045485563 | 20150624101855 | 20150624101855     |   223600077 |      218 | wikitext           |
| 28805349 |              1 | Q1030321                                              |                   |            0 |                0 |           1 |     0.704588486753 | 20160916192056 | 20160916192057     |   376840066 |      255 | wikitext           |
| 18734764 |              1 | Q10310067                                             |                   |            0 |                0 |           0 |     0.907168980472 | 20140713171817 | 20140713171817     |   144421952 |      384 | wikitext           |
| 21449383 |              1 | Q10314514                                             |                   |            0 |                0 |           1 |     0.736310413519 | 20150502114140 | 20150502114139     |   213979646 |      198 | wikitext           |
| 22452662 |              1 | Q10317669                                             |                   |            0 |                0 |           1 |     0.493056124246 | 20150730164513 | 20150721142359     |   235943882 |       91 | wikitext           |
| 21594118 |              1 | Q10317762                                             |                   |            0 |                0 |           0 |     0.187184843197 | 20160125143753 | 20150521204845     |   217319656 |      424 | wikitext           |
| 21449066 |              1 | Q10318818                                             |                   |            0 |                0 |           1 |     0.518847651559 | 20150502084856 | 20150502084855     |   213954449 |      199 | wikitext           |
| 28653068 |              1 | Q103191                                               |                   |            0 |                0 |           1 |     0.370669555815 | 20160831105146 | 20160831105147     |   371635217 |      193 | wikitext           |
| 19873269 |              1 | Q10322527                                             |                   |            0 |                0 |           1 |     0.704336965497 | 20141024134347 | 20141024134347     |   167896455 |       47 | wikitext           |
| 22429522 |              1 | Q10322717                                             |                   |            0 |                0 |           1 |     0.196042792572 | 20150730131902 | 20150720044633     |   233398591 |      297 | wikitext           |
| 25312533 |              1 | Q1032439                                              |                   |            0 |                0 |           1 |     0.724218944242 | 20160319233032 | 20160319233032     |   313901129 |       51 | wikitext           |
| 21497335 |              1 | Q10327357                                             |                   |            0 |                0 |           1 |     0.471387679624 | 20150508124134 | 20150508124132     |   214824281 |      198 | wikitext           |
| 21970639 |              1 | Q10329551                                             |                   |            0 |                0 |           1 |     0.200852987453 | 20150625103733 | 20150625103733     |   223811492 |       27 | wikitext           |
| 15091785 |              1 | Q1034159                                              |                   |            0 |                0 |           0 |     0.446857702791 | 20160620180430 | 20160620180703     |    49107100 |      446 | wikitext           |
| 24365123 |              1 | Q10346420                                             |                   |            0 |                0 |           1 |     0.902991387351 | 20160129175847 | 20160129175847     |   297417774 |      397 | wikitext           |
| 24996046 |              1 | Q103495                                               |                   |            0 |                0 |           1 |      0.34033480674 | 20160921190923 | 20160917081314     |   308749681 |       22 | wikitext           |
|  8882702 |              1 | Q1035                                                 |                   |            0 |                0 |           0 |     0.923383121796 | 20131030131758 | NULL               |    82735782 |      892 | wikitext           |
| 24355259 |              1 | Q10350033                                             |                   |            0 |                0 |           1 |      0.00160321091 | 20160914164222 | 20160820114111     |   296893058 |      212 | wikitext           |
| 16923295 |              1 | Q1035107                                              |                   |            0 |                0 |           1 |     0.465761545465 | 20131204101202 | NULL               |    91422518 |      220 | wikitext           |
| 17539642 |              1 | Q10351700                                             |                   |            0 |                0 |           1 |      0.99824835622 | 20140309090804 | 20140309090804     |   115093591 |      157 | wikitext           |
| 17576936 |              1 | Q1035639                                              |                   |            0 |                0 |           1 |     0.146291855097 | 20160820104127 | 20160820110449     |   116596581 |     1259 | wikitext           |
| 20046454 |              1 | Q1035778                                              |                   |            0 |                0 |           1 |      0.55583035596 | 20160820105212 | 20160820111600     |   171623676 |     1613 | wikitext           |
| 11911403 |              1 | Q10369016                                             |                   |            0 |                0 |           0 |     0.860278947756 | 20160620180430 | 20160620180641     |    23889521 |      398 | wikitext           |
| 21725308 |              1 | Q10371108                                             |                   |            0 |                0 |           1 |     0.081821066214 | 20150608121032 | 20150608121031     |   221619637 |      197 | wikitext           |
| 17584633 |              1 | Q10372154                                             |                   |            0 |                0 |           1 |     0.494256594636 | 20140318161145 | 20140318161145     |   116943137 |      203 | wikitext           |
|  7649548 |              1 | Q103732                                               |                   |            0 |                0 |           1 |     0.191847996825 | 20130810102808 | NULL               |    13543077 |      210 | wikitext           |
| 20970922 |              1 | Q10374201                                             |                   |            0 |                0 |           1 |     0.792506606811 | 20150404130948 | 20150404131002     |   199894958 |      209 | wikitext           |
| 16803288 |              1 | Q1037601                                              |                   |            0 |                0 |           1 |      0.33810035663 | 20160820103229 | 20160820110203     |    85282328 |     1359 | wikitext           |
| 16803352 |              1 | Q1037616                                              |                   |            0 |                0 |           1 |     0.278455113995 | 20160820103229 | 20160820110147     |    85293683 |     1273 | wikitext           |
| 21463539 |              1 | Q10383193                                             |                   |            0 |                0 |           1 |     0.729712254916 | 20150507084244 | 20150507084243     |   214677945 |      197 | wikitext           |
| 23375793 |              1 | Q10387744                                             |                   |            0 |                0 |           1 |     0.995708936248 | 20151103211908 | 20151103211909     |   267877751 |       33 | wikitext           |
| 21463772 |              1 | Q10391249                                             |                   |            0 |                0 |           1 |     0.337315984543 | 20150507120108 | 20150507120107     |   214695227 |      197 | wikitext           |
| 21498250 |              1 | Q10393735                                             |                   |            0 |                0 |           1 |     0.746981965537 | 20150509052131 | 20150509052130     |   214902256 |      197 | wikitext           |
| 16892164 |              1 | Q10395980                                             |                   |            0 |                0 |           0 |     0.925438310362 | 20160620180430 | 20160620180759     |    90281505 |      307 | wikitext           |
| 21604580 |              1 | Q10397368                                             |                   |            0 |                0 |           1 |     0.529740038864 | 20160219015716 | 20150523045259     |   217851137 |      197 | wikitext           |
